dataset	sample	relative_path	bytes	source	source_mtime_utc	destination
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	78882	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.pdf	2026-05-22T19:16:18Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	648831	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_cell_barcodes.csv	2026-05-22T19:16:18Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv	585	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_metrics.csv	2026-05-22T19:23:17Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html	1109810	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_report.html	2026-05-22T19:23:31Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/counts.h5ad	1250611126	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/counts.h5ad	2026-05-22T19:23:37Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/counts.h5ad
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	135532072	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/default_singlet_filtered_counts.h5ad	2026-05-22T19:23:48Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	26752	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/doublet_barcodes.txt	2026-05-22T18:41:50Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	584829	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/filtered_barcodes_with_scores.txt	2026-05-22T18:41:50Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad	137554840	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/filtered_counts.h5ad	2026-05-22T19:23:46Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad
JAX scRNAseq02	WT-ExM-Day-5	WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/final_counts.h5ad	1294865206	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E34-L4/samples/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender_remote/final_counts.h5ad	2026-05-22T19:23:50Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26-completion-7-27-26/WT-ExM-Day-5/downstream_genefull_velocyto_cellbender/final_counts.h5ad
